Partner,YearPartner,PartnerName
C004,2019,Afghanistan
C008,2020,Albania
C024,2019,Angola
C028,2019,Antigua and Barbuda
C032,2020,Argentina
C036,2021,Australia
C040,2020,Austria
C048,2019,"Bahrain, Kingdom of"
C050,2015,Bangladesh
C051,2021,Armenia
C052,2021,Barbados
C056,2021,Belgium
C068,2021,Bolivia
C072,2020,Botswana
C076,2020,Brazil
C084,2021,Belize
C090,2018,Solomon Islands
C096,2020,Brunei Darussalam
C100,2020,Bulgaria
C104,2020,Myanmar
C108,2020,Burundi
C116,2020,Cambodia
C120,2018,Cameroon
C124,2021,Canada
C132,2020,Cabo Verde
C140,2018,Central African Republic
C144,2021,Sri Lanka
C148,2016,Chad
C152,2021,Chile
C156,2020,China
C158,2020,"Taipei, Chinese"
C170,2020,Colombia
C178,2020,Congo
C180,2020,Congo (DRC)
C188,2020,Costa Rica
C191,2021,Croatia
C192,2020,Cuba
C196,2021,Cyprus
C203,2021,Czech Republic
C204,2021,Benin
C208,2021,Denmark
C212,2012,Dominica
C214,2020,Dominican Republic
C218,2021,Ecuador
C222,2021,El Salvador
C233,2021,Estonia
C242,2021,Fiji
C246,2021,Finland
C250,2020,France
C262,2009,Djibouti
C266,2016,Gabon
C268,2021,Georgia
C270,2020,The Gambia
C276,2021,Germany
C288,2019,Ghana
C300,2021,Greece
C308,2021,Grenada
C320,2021,Guatemala
C324,2019,Guinea
C328,2021,Guyana
C332,2014,Haiti
C340,2019,Honduras
C344,2021,"Hong Kong, China"
C348,2021,Hungary
C352,2021,Iceland
C356,2021,India
C360,2020,Indonesia
C372,2020,Ireland
C376,2020,Israel
C380,2021,Italy
C384,2019,Côte d'Ivoire
C388,2020,Jamaica
C392,2021,Japan
C398,2020,Kazakhstan
C400,2020,Jordan
C404,2021,Kenya
C410,2020,"Korea, Republic of"
C414,2020,"Kuwait, the State of"
C417,2021,Kyrgyz Republic
C418,2020,Lao PDR
C426,2020,Lesotho
C428,2021,Latvia
C430,,Liberia
C440,2021,Lithuania
C442,2021,Luxembourg
C446,2021,"Macao, China"
C450,2020,Madagascar
C454,2020,Malawi
C458,2021,Malaysia
C462,2021,Maldives
C466,2019,Mali
C470,2020,Malta
C478,2020,Mauritania
C480,2021,Mauritius
C484,2021,Mexico
C496,2020,Mongolia
C498,2021,"Moldova, Republic of"
C504,2020,Morocco
C508,2020,Mozambique
C512,2018,Oman
C516,2020,Namibia
C524,2019,Nepal
C528,2021,Netherlands
C548,2011,Vanuatu
C554,2021,New Zealand
C558,2021,Nicaragua
C562,2020,Niger
C566,2020,Nigeria
C578,2020,Norway
C586,2021,Pakistan
C591,2019,Panama
C598,2012,Papua New Guinea
C600,2021,Paraguay
C604,2020,Peru
C608,2021,Philippines
C616,2021,Poland
C620,2021,Portugal
C624,2008,Guinea-Bissau
C634,2020,Qatar
C642,2021,Romania
C643,2020,Russian Federation
C646,2020,Rwanda
C659,2017,Saint Kitts and Nevis
C662,2019,Saint Lucia
C670,2019,Saint Vincent and the Grenadines
C682,2020,"Saudi Arabia, Kingdom of"
C686,2021,Senegal
C690,2020,Seychelles
C694,2018,Sierra Leone
C702,2020,Singapore
C703,2021,Slovak Republic
C704,2020,Viet Nam
C705,2021,Slovenia
C710,2020,South Africa
C716,2020,Zimbabwe
C724,2021,Spain
C740,2019,Suriname
C748,2020,Eswatini
C752,2021,Sweden
C756,2021,Switzerland
C762,2020,Tajikistan
C764,2020,Thailand
C768,2020,Togo
C776,2015,Tonga
C780,2015,Trinidad and Tobago
C784,2020,United Arab Emirates
C788,2019,Tunisia
C792,2021,Turkey
C800,2020,Uganda
C804,2021,Ukraine
C807,2020,North Macedonia
C818,2021,Egypt
C826,2021,United Kingdom
C834,2021,Tanzania
C840,2021,USA
C854,2021,Burkina Faso
C858,2020,Uruguay
C862,2015,Venezuela
C882,2021,Samoa
C887,2019,Yemen
C893,2021,Montenegro
C894,2020,Zambia
U918,2020,European Union
C012,2017,Algeria
C031,2021,Azerbaijan
C044,2018,Bahamas
C064,2012,Bhutan
C070,2020,Bosnia & Herzegovina
C112,2021,Belarus
C174,2020,Comoros
C226,,Equatorial Guinea
C231,2020,Ethiopia
C364,2018,Iran
C368,2014,Iraq
C422,2021,Lebanese Republic
C434,2018,Libya
C531,,Curaçao
C626,2017,Timor-Leste
C678,2020,Sao Tomé and Principe
C706,,Somalia
C728,,South Sudan
C736,2018,Sudan
C760,2010,Syrian Arab Republic
C795,2000,Turkmenistan
C860,2021,Uzbekistan
C892,2021,Serbia
NXXX,,Other
