Reporter,ReporterName,Continent,Year,Source
C004,Afghanistan,Asia & Oceania,2019,comtrade
C008,Albania,Europe,2020,comtrade
C012,Algeria,Africa,2017,comtrade
C024,Angola,Africa,2019,comtrade
C028,Antigua and Barbuda,Americas,2019,comtrade
C031,Azerbaijan,Asia & Oceania,2021,comtrade
C032,Argentina,Americas,2020,comtrade
C036,Australia,Asia & Oceania,2021,comtrade
C040,Austria,Europe,2020,comtrade
C044,Bahamas,Americas,2018,comtrade
C048,"Bahrain, Kingdom of",Asia & Oceania,2019,comtrade
C050,Bangladesh,Asia & Oceania,2015,comtrade
C051,Armenia,Asia & Oceania,2021,comtrade
C052,Barbados,Americas,2021,comtrade
C056,Belgium,Europe,2021,comtrade
C064,Bhutan,Asia & Oceania,2012,comtrade
C068,Bolivia,Americas,2021,comtrade
C070,Bosnia & Herzegovina,Europe,2020,comtrade
C072,Botswana,Africa,2020,comtrade
C076,Brazil,Americas,2020,comtrade
C084,Belize,Americas,2021,comtrade
C090,Solomon Islands,Asia & Oceania,2018,comtrade
C096,Brunei Darussalam,Asia & Oceania,2020,comtrade
C100,Bulgaria,Europe,2020,comtrade
C104,Myanmar,Asia & Oceania,2020,comtrade
C108,Burundi,Africa,2020,comtrade
C112,Belarus,Europe,2021,comtrade
C116,Cambodia,Asia & Oceania,2020,comtrade
C120,Cameroon,Africa,2018,comtrade
C124,Canada,Americas,2021,comtrade
C132,Cabo Verde,Africa,2020,comtrade
C140,Central African Republic,Africa,2018,comtrade
C144,Sri Lanka,Asia & Oceania,2021,comtrade
C148,Chad,Africa,2016,IDB
C152,Chile,Americas,2021,comtrade
C156,China,Asia & Oceania,2020,comtrade
C158,"Taipei, Chinese",Asia & Oceania,2020,comtrade
C170,Colombia,Americas,2020,comtrade
C174,Comoros,Africa,2020,comtrade
C178,Congo,Africa,2020,comtrade
C180,Congo (DRC),Africa,2020,comtrade
C188,Costa Rica,Americas,2020,comtrade
C191,Croatia,Europe,2021,comtrade
C192,Cuba,Americas,2020,IDB
C196,Cyprus,Europe,2021,comtrade
C203,Czech Republic,Europe,2021,comtrade
C204,Benin,Africa,2021,comtrade
C208,Denmark,Europe,2021,comtrade
C212,Dominica,Americas,2012,comtrade
C214,Dominican Republic,Americas,2020,comtrade
